,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,8,7,0.06666766666666667,0.00101110101010101,11.423529411764706,0.5983522142121525,4.808752650390744,11.423529411764706,581,971,3.081695966907963,2,7.6076210092687955
1,321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,6,7,-0.07692207692307693,-0.003057103975535168,13.28,0.6355421686746988,5.56621686746988,13.28,211,332,3.104294478527607,3,7.641566265060241
2,2345.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,3,7,-0.39999900000000005,-0.0060872800608828,8.486486486486486,0.5159235668789809,3.6009640213461864,8.486486486486486,324,626,2.743377483443709,3,7.00479233226837
3,4321.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,13,10,0.13043578260869565,0.003995673768308922,12.559322033898304,0.543859649122807,5.241272673208445,12.559322033898304,403,739,2.8065843621399176,6,7.2841677943166445
4,432.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,7,6,0.07692407692307693,0.0013325579227696405,12.559322033898304,0.543859649122807,5.241272673208445,12.559322033898304,403,739,2.8065843621399176,6,7.2841677943166445
5,2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,9,7,0.125001,0.0029207080291970802,10.0,0.5292307692307693,4.211692307692308,10.0,344,649,2.837025316455696,5,7.3097072419106315
6,3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,11,9,0.100001,0.002968359050445104,12.52,0.597444089456869,5.2469776357827485,12.52,374,624,2.962233169129721,1,7.509615384615385
7,3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,11,6,0.2941186470588235,0.005066856129685917,9.677083333333334,0.5468245425188375,4.089563150340869,9.677083333333334,508,923,2.800650054171181,4,7.3965330444203685
8,4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,11,7,0.2222232222222222,0.016130032258064517,10.24,0.46875,4.2835,10.24,120,256,2.59375,1,6.87890625
9,4741.0,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,11,7,0.2222232222222222,0.0062510000000000005,11.96078431372549,0.5819672131147541,5.017100610736098,11.96078431372549,355,607,2.843492586490939,6,7.41845140032949
10,5202.8,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,7,4,0.2727282727272727,0.013762467889908257,7.310344827586207,0.46226415094339623,3.109043591411842,7.310344827586207,98,210,2.6635071090047395,4,7.0476190476190474
11,5664.6,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,10,7,0.17647158823529413,0.0037463183520599253,12.015625,0.48764629388816644,5.001308517555267,12.015625,375,766,2.705802968960864,7,6.7793733681462145
12,6126.4,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,10,8,0.1111121111111111,0.005634802816901409,13.791666666666666,0.5347432024169184,5.730563947633434,13.791666666666666,177,330,2.7468354430379747,1,6.942424242424242
13,6588.2,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,7,4,0.2727282727272727,0.004943339373970346,14.85,0.3771043771043771,6.090841750841751,14.85,224,594,2.4298401420959146,4,6.215488215488215
14,7050.0,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,9,6,0.200001,0.00506002192242833,10.88,0.4742647058823529,4.541705882352942,10.88,258,543,2.690661478599222,1,6.76427255985267
15,7511.8,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,4,4,1e-06,1e-06,12.732142857142858,0.3997194950911641,5.252744940893609,12.732142857142858,285,707,2.4808259587020647,19,6.271570014144271
16,7973.6,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,11,9,0.100001,0.002977190476190476,13.425531914893616,0.4960380348652932,5.568627979903564,13.425531914893616,313,631,2.7832512315270934,7,7.142630744849446
17,8435.4,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,7,9,-0.124999,-0.0016939152542372882,14.506493506493506,0.5568487018800358,6.025336883349417,14.506493506493506,622,1117,2.8896991795806746,1,7.375111906893465
18,8897.2,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,5,8,-0.23076823076923078,-0.0037257080745341613,10.82857142857143,0.4340369393139842,4.5050433471541655,10.82857142857143,329,753,2.5601604278074865,6,6.553784860557769
19,9359.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,11,7,0.2222232222222222,0.0038882691933916423,11.611764705882353,0.5643363728470111,4.870440431491746,11.611764705882353,557,982,2.880855397148676,2,7.362525458248473
20,9820.8,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,7,6,0.07692407692307693,0.0011971722488038276,10.44578313253012,0.42675893886966554,4.349016828559915,10.44578313253012,370,862,2.5849941383352872,17,6.527842227378191
21,10282.6,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,11,4,0.46666766666666665,0.007143857142857143,11.91358024691358,0.45077720207253885,4.945742979594448,11.91358024691358,435,957,2.623529411764706,12,6.819226750261233
22,10744.4,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,10,7,0.17647158823529413,0.004262363636363636,12.072727272727272,0.45933734939759036,5.012825848849945,12.072727272727272,305,659,2.5857359635811834,18,6.834597875569044
23,11206.2,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,9,6,0.200001,0.00641125641025641,8.934782608695652,0.45742092457420924,3.756881413307945,8.934782608695652,188,407,2.6153846153846154,7,6.796068796068796
25,12129.8,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,11,9,0.100001,0.0050387833753148615,10.944444444444445,0.4137055837563452,4.543260011280316,10.944444444444445,163,392,2.395348837209302,2,6.369897959183674
26,12591.6,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,7,10,-0.17646958823529413,-0.002528510961214165,13.767441860465116,0.47719594594594594,5.697855122564425,13.767441860465116,565,1178,2.690068493150685,9,6.761460101867572
27,13053.4,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,7,11,-0.2222212222222222,-0.003251032520325203,10.84,0.4547970479704797,4.517918819188192,10.84,493,1077,2.551948051948052,1,6.790157845868152
28,13515.2,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,10,9,0.05263257894736842,0.0014651288433382137,12.181818181818182,0.5522388059701493,5.0936227951153334,12.181818181818182,370,667,2.8804185351270553,8,7.491754122938531
29,13977.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,4,9,-0.38461438461538466,-0.0065606797900262465,10.068493150684931,0.4380952380952381,4.202635355512068,10.068493150684931,322,734,2.607898448519041,6,6.513623978201635
30,14438.8,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,11,7,0.2222232222222222,0.0052434639580602885,10.828947368421053,0.47144592952612396,4.520157319178871,10.828947368421053,388,820,2.6988984088127297,32,6.842682926829268
31,14900.6,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,8,7,0.06666766666666667,0.001127126126126126,10.654320987654321,0.4820393974507532,4.45454415404203,10.654320987654321,416,860,2.7532467532467533,11,6.969767441860465
32,15362.4,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,4,10,-0.4285704285714286,-0.018403907975460123,13.727272727272727,0.5496688741721855,5.710776640577965,13.727272727272727,166,302,2.8642384105960264,0,7.298013245033113
33,15824.2,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,7,6,0.07692407692307693,0.0012340456226880394,117.125,0.43329775880469584,47.023319103521885,117.125,406,937,2.515812431842966,15,6.456776947705443
34,16286.0,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,7,9,-0.124999,-0.0047383364928909955,9.044444444444444,0.542997542997543,3.8349767949767952,9.044444444444444,221,405,2.7468982630272953,0,7.217283950617284
35,16747.8,https://insights.blackcoffer.com/evolution-of-advertising-industry/,11,8,0.15789573684210526,0.006945444444444444,9.853658536585366,0.5668316831683168,4.168196087901474,9.853658536585366,229,404,2.8646616541353382,0,7.698019801980198
36,17209.6,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,10,5,0.3333343333333333,0.05102140816326531,15.428571428571429,0.5092592592592593,6.375132275132276,15.428571428571429,55,108,2.691588785046729,2,7.175925925925926
38,18133.2,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,10,9,0.05263257894736842,0.0012401573729863692,13.310344827586206,0.5025906735751295,5.525174200464535,13.310344827586206,388,767,2.6978891820580473,2,6.8852672750977835
39,18595.0,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,4,5,-0.1111101111111111,-0.00234092037470726,12.625,0.4430693069306931,5.227227722772278,12.625,179,403,2.61439588688946,3,6.625310173697271
40,19056.8,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,10,9,0.05263257894736842,0.0009881668311944717,10.615384615384615,0.4472049689440994,4.425035833731486,10.615384615384615,432,961,2.631413612565445,9,6.811654526534859
41,19518.6,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,9,8,0.058824529411764706,0.0026395224274406333,8.177777777777777,0.529891304347826,3.4830676328502417,8.177777777777777,195,368,2.6923076923076925,4,7.081521739130435
42,19980.4,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,8,11,-0.15789373684210525,-0.013391857142857143,13.294117647058824,0.39823008849557523,5.47693909422176,13.294117647058824,90,226,2.497777777777778,0,6.384955752212389
43,20442.2,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,9,9,1e-06,1e-06,12.914285714285715,0.4557522123893805,5.348015170670038,12.914285714285715,206,450,2.505668934240363,4,6.453333333333333
44,20904.0,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,8,9,-0.058822529411764704,-0.0032352459546925567,13.238095238095237,0.4712230215827338,5.483727303871189,13.238095238095237,131,277,2.7745454545454544,1,7.003610108303249
